"code_grand_domaine","code_domaine_professionnel","numero_fiche_rome","intitule","libelle_appellation_long","libelle_appellation_court","type_provenance","code_fiche","ogr_rome","ogr_appellation","priorisation"
"A","","","AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX","","","1","","","",""
"A","11","","Engins agricoles et forestiers","","","2","","","",""
"A","11","01","Conduite d''engins agricoles et forestiers","","","3","","","",""
"","","","","Chauffeur / Chauffeuse de machines agricoles","Chauffeur / Chauffeuse de machines agricoles","4","11","6","11987","1"
"","","","","Conducteur / Conductrice d''abatteuses","Conducteur / Conductrice d''abatteuses","4","11","6","12862","1"
"","","","","Conducteur / Conductrice d''automoteur de récolte","Conducteur / Conductrice d''automoteur de récolte","4","11","6","38874","1"
"","","","","Conducteur / Conductrice de machines à vendanger","Conducteur / Conductrice de machines à vendanger","4","11","6","13232","1"
"","","","","Conducteur / Conductrice de matériels de semis","Conducteur / Conductrice de matériels de semis","4","11","6","38878","1"
"","","","","Conducteur / Conductrice d''engins de débardage","Conducteur / Conductrice d''engins de débardage","4","11","6","13248","1"
"","","","","Conducteur / Conductrice d''engins d''exploitation agricole","Conducteur / Conductrice d''engins d''exploitation agricole","4","11","6","13254","1"
"","","","","Conducteur / Conductrice d''engins d''exploitation forestière","Conducteur / Conductrice d''engins d''exploitation forestière","4","11","6","13255","1"
"","","","","Conducteur / Conductrice d''engins forestiers","Conducteur / Conductrice d''engins forestiers","4","11","6","13256","1"
"","","","","Conducteur / Conductrice de pulvérisateur","Conducteur / Conductrice de pulvérisateur","4","11","6","38875","1"
"","","","","Conducteur / Conductrice de tracteur","Conducteur / Conductrice de tracteur","4","11","6","13201","1"
"","","","","Conducteur / Conductrice de tracto-benne","Conducteur / Conductrice de tracto-benne","4","11","6","38879","1"
"","","","","Conducteur / Conductrice de tête d''abattage","Conducteur / Conductrice  de tête d''abattage","4","11","6","13197","1"
"","","","","Conducteur / Conductrice d''épareuse","Conducteur / Conductrice d''épareuse","4","11","6","38877","1"
"","","","","Débardeur / Débardeuse","Débardeur / Débardeuse","4","11","6","13886","1"
"","","","","Débardeur forestier / Débardeuse forestière","Débardeur forestier / Débardeuse forestière","4","11","6","13887","1"
"","","","","Opérateur / Opératrice d''abatteuse","Opérateur / Opératrice d''abatteuse","4","11","6","17055","1"
"","","","","Opérateur / Opératrice d''épandage","Opérateur / Opératrice d''épandage","4","11","6","38876","1"
"","","","","Pilote de machines d''abattage","Pilote de machines d''abattage","4","11","6","17751","1"
"","","","","Tractoriste agricole","Tractoriste agricole","4","11","6","20404","1"
"","","","","Tractoriste forestier / Tractoriste forestière","Tractoriste forestier / Tractoriste forestière","4","11","6","20405","1"
"A","12","","Espaces naturels et espaces verts","","","2","","","",""
"A","12","01","Bûcheronnage et élagage","","","3","","","",""
"","","","","Arboriste","Arboriste","4","19","7","11105","1"
"","","","","Arboriste grimpeur / grimpeuse","Arboriste grimpeur / grimpeuse","4","19","7","11106","1"
"","","","","Bûcheron / Bûcheronne","Bûcheron / Bûcheronne","4","19","7","11606","1"
"","","","","Bûcheron élagueur / Bûcheronne élagueuse","Bûcheron élagueur / Bûcheronne élagueuse","4","19","7","11607","1"
"","","","","Charbonnier / Charbonnière","Charbonnier / Charbonnière","4","19","7","11740","1"
"","","","","Commis / Commise de coupe","Commis / Commise de coupe","4","19","7","12755","1"
"","","","","Ehouppeur / Ehouppeuse","Ehouppeur / Ehouppeuse","4","19","7","14607","1"
"","","","","Elagueur-botteur / Elagueuse-botteuse","Elagueur-botteur / Elagueuse-botteuse","4","19","7","14610","1"
"","","","","Elagueur / Elagueuse","Elagueur / Elagueuse","4","19","7","14608","1"
"","","","","Elagueur / Elagueuse espaces verts","Elagueur / Elagueuse espaces verts","4","19","7","14609","1"
"","","","","Elagueur-grimpeur / Elagueuse-grimpeuse","Elagueur-grimpeur / Elagueuse-grimpeuse","4","19","7","14611","1"
"","","","","Grimpeur-élagueur / Grimpeuse-élagueuse","Grimpeur-élagueur / Grimpeuse-élagueuse","4","19","7","15429","1"
"","","","","Homme / Femme de pied","Homme / Femme de pied","4","19","7","38435","1"
"","","","","Ouvrier / Ouvrière d''exploitation forestière","Ouvrier / Ouvrière d''exploitation forestière","4","19","7","17483","1"
"A","12","02","Entretien des espaces naturels","","","3","","","",""
"","","","","Agent / Agente d''aménagement des circuits pédestres, équestres et Vtt","Agent(e) aménagement des circuits pédestres, équestres, VTT","4","15","8","10382","1"
"","","","","Agent / Agente d''aménagement des haies et fossés","Agent / Agente d''aménagement des haies et fossés","4","15","8","10383","1"
"","","","","Agent / Agente d''entretien de la nature","Agent / Agente d''entretien de la nature","4","15","8","10664","1"
"","","","","Agent / Agente d''entretien de l''espace rural","Agent / Agente d''entretien de l''espace rural","4","15","8","10667","1"
"","","","","Agent / Agente d''entretien des espaces naturels","Agent / Agente d''entretien des espaces naturels","4","15","8","10673","1"
"","","","","Agent / Agente d''entretien des rivières","Agent / Agente d''entretien des rivières","4","15","8","10677","1"
"","","","","Agent / Agente d''entretien nature du littoral","Agent / Agente d''entretien nature du littoral","4","15","8","10685","1"
"","","","","Agent / Agente d''entretien nature et biodiversité","Agent / Agente d''entretien nature et biodiversité","4","15","8","38323","1"
"","","","","Chef d''équipe d''entretien d''espaces naturels","Chef d''équipe d''entretien d''espaces naturels","4","15","8","12440","1"
"","","","","Ouvrier / Ouvrière d''entretien des espaces naturels","Ouvrier / Ouvrière d''entretien des espaces naturels","4","15","8","17474","1"
"A","12","03","Entretien des espaces verts","","","3","","","",""
"","","","","Agent / Agente d''entretien des parcs et jardins","Agent / Agente d''entretien des parcs et jardins","4","16","9","10675","1"
"","","","","Aide jardinier / jardinière","Aide jardinier / jardinière","4","16","9","38436","1"
"","","","","Chef d''équipe d''entretien des espaces verts","Chef d''équipe d''entretien des espaces verts","4","16","9","12439","1"
"","","","","Chef d''équipe paysagiste","Chef d''équipe paysagiste","4","16","9","12482","1"
"","","","","Jardinier / Jardinière d''espaces verts","Jardinier / Jardinière d''espaces verts","4","16","9","16068","1"
"","","","","Jardinier / Jardinière","Jardinier / Jardinière","4","16","9","16067","1"
"","","","","Jardinier / Jardinière paysagiste","Jardinier / Jardinière paysagiste","4","16","9","16069","1"
"","","","","Manoeuvre des espaces verts","Manoeuvre des espaces verts","4","16","9","38437","1"
"","","","","Ouvrier / Ouvrière d''entretien des espaces verts","Ouvrier / Ouvrière d''entretien des espaces verts","4","16","9","17475","1"
"","","","","Ouvrier / Ouvrière des espaces verts","Ouvrier / Ouvrière des espaces verts","4","16","9","17480","1"
"","","","","Ouvrier / Ouvrière du paysage","Ouvrier / Ouvrière du paysage","4","16","9","17487","1"
"","","","","Ouvrier / Ouvrière paysagiste","Ouvrier / Ouvrière paysagiste","4","16","9","17515","1"
"","","","","Technicien / Technicienne paysagiste","Technicien / Technicienne paysagiste","4","16","9","38077","1"
"A","12","04","Protection du patrimoine naturel","","","3","","","",""
"","","","","Agent / Agente technique des parcs nationaux","Agent / Agente technique des parcs nationaux","4","13","10","10780","1"
"","","","","Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel","Agent(e) chargé(e) protection, sauvegarde patrimoine naturel","4","13","10","10358","1"
"","","","","Eco garde","Eco garde","4","13","10","14562","1"
"","","","","Garde-chasse","Garde-chasse","4","13","10","15205","1"
"","","","","Garde-chasse particulier / particulière","Garde-chasse particulier / particulière","4","13","10","15206","1"
"","","","","Garde de parc naturel","Garde de parc naturel","4","13","10","15195","1"
"","","","","Garde du littoral","Garde du littoral","4","13","10","15198","1"
"","","","","Garde forestier / forestière","Garde forestier / forestière","4","13","10","15199","1"
"","","","","Garde moniteur / monitrice de parc national","Garde moniteur / monitrice de parc national","4","13","10","15200","1"
"","","","","Garde moniteur / monitrice de parc naturel","Garde moniteur / monitrice de parc naturel","4","13","10","15201","1"
