"code_ogr","code_type_referentiel","code_pere","code_noeud","libelle_item_arbo","code_item_arbo_associe","code_type_noeud","libelle_type_noeud","statut"
"1","6","","Racine AP","Racine de l''arborescence principale","0","1","RACINE","1"
"2","7","","Racine AR","Racine de l''arborescence secondaire - code ROME","0","1","RACINE","1"
"24130","6","Racine AP","A","AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX","0","2","NOEUD","1"
"24131","6","A","A11","Engins agricoles et forestiers","0","2","NOEUD","1"
"24132","6","A","A12","Espaces naturels et espaces verts","0","2","NOEUD","1"
"24133","6","A","A13","Etudes et assistance technique","0","2","NOEUD","1"
"24134","6","A","A14","Production","0","2","NOEUD","1"
"24135","6","A","A15","Soins aux animaux","0","2","NOEUD","1"
"24168","6","Racine AP","B","ARTS ET FACONNAGE D''OUVRAGES D''ART","0","2","NOEUD","1"
"24169","6","B","B11","Arts plastiques","0","2","NOEUD","1"
"24170","6","B","B12","Céramique","0","2","NOEUD","1"
"24171","6","B","B13","Décoration","0","2","NOEUD","1"
"24172","6","B","B14","Fibres et papier","0","2","NOEUD","1"
"24173","6","B","B15","Instruments de musique","0","2","NOEUD","1"
"24174","6","B","B16","Métal, verre, bijouterie et horlogerie","0","2","NOEUD","1"
"24175","6","B","B17","Taxidermie","0","2","NOEUD","1"
"24176","6","B","B18","Tissu et cuirs","0","2","NOEUD","1"
"24196","6","Racine AP","C","BANQUE, ASSURANCE, IMMOBILIER","0","2","NOEUD","1"
"24197","6","C","C11","Assurance","0","2","NOEUD","1"
"24198","6","C","C12","Banque","0","2","NOEUD","1"
"24199","6","C","C13","Finance","0","2","NOEUD","1"
"24200","6","C","C14","Gestion administrative banque et assurances","0","2","NOEUD","1"
"24201","6","C","C15","Immobilier","0","2","NOEUD","1"
"24227","6","Racine AP","D","COMMERCE, VENTE ET GRANDE DISTRIBUTION","0","2","NOEUD","1"
"24228","6","D","D11","Commerce alimentaire et métiers de bouche","0","2","NOEUD","1"
"24229","6","D","D12","Commerce non alimentaire et de prestations de confort","0","2","NOEUD","1"
"24230","6","D","D13","Direction de magasin de détail","0","2","NOEUD","1"
"24231","6","D","D14","Force de vente","0","2","NOEUD","1"
"24232","6","D","D15","Grande distribution","0","2","NOEUD","1"
"24272","6","Racine AP","E","COMMUNICATION, MEDIA ET MULTIMEDIA","0","2","NOEUD","1"
"24273","6","E","E11","Edition et communication","0","2","NOEUD","1"
"24274","6","E","E12","Images et sons","0","2","NOEUD","1"
"24275","6","E","E13","Industries graphiques","0","2","NOEUD","1"
"24276","6","E","E14","Publicité","0","2","NOEUD","1"
