"code_compo_bloc","libelle_bloc","type_referentiel"
"1","Arborescence","AR"
"2","Code ROME et intitulé","RI"
"3","Appellations","RI"
"4","Définition","RT"
"5","Accès à l''emploi/métier","RT"
"6","Conditions d''exercice de l''activité","RT"
"7","Environnements de travail","RI"
"8","Activités de base","RI"
"9","Activités spécifiques","RI"
"10","Mobilités","MT"
"11","Commentaires","CT"
"12","formations associées","RE"
"13","classement des emplois/métiers","RE"
"14","Rubriques textuelles à venir","RT"
