"code_tete_rgpmt","libelle_en_tete_regroupement"
"0","Accueillir des passagers lors de :"
"1","Actionner et manoeuvrer des équipements :"
"2","Adapter ou fabriquer des accessoires de costumes :"
"3","Adapter un écrit :"
"4","Administrer un système :"
"7","Animer des :"
"5","Animer des formations nécessitant un brevet ou une habilitation :"
"6","Animer des séances de préparation à l''accouchement ou à la parentalité :"
"8","Animer des ventes en :"
"9","Appliquer à la main (couteau, pinceau, tampon, ...) un produit spécifique :"
"10","Appliquer des motifs, des revêtements de surface sur du :"
"11","Appliquer et régler des couches de revêtement de :"
"12","Appliquer un revêtement ou une protection par :"
"13","Appliquer une couche de métal par pulvérisation ou trempage :"
"14","Apporter un appui technique pour l''élaboration de dossiers :"
"15","Assembler les différentes pièces d''un ouvrage (chaise, meuble, ...) par :"
"16","Assurer la représentation du Gouvernement sur un territoire :"
"17","Broder des étoffes/articles sur :"
"18","Charger/décharger le matériel au moyen d''engins :"
"19","Commander un navire :"
"20","Commander un navire nécessitant une qualification ou une habilitation :"
"21","Commander un navire sur une zone géographique :"
"22","Concevoir des édifices en :"
"23","Concevoir des éléments de décoration ou d''identité visuelle :"
"24","Concevoir des éléments prothétiques/orthétiques :"
"32","Concevoir des :"
"25","Concevoir des modèles pour de nouvelles collections ou des évènements :"
"26","Concevoir des projets à l''aide de :"
"27","Concevoir des projets hors média :"
"28","Concevoir des projets pour un support média :"
"29","Concevoir et fabriquer un :"
"30","Concevoir l''aménagement d''espaces :"
"31","Concevoir ou réaliser des supports de communication :"
"34","Concevoir une montre, une horloge et intervenir dans la ou le :"
"35","Conduire et suivre des fonctions :"
"36","Conduire un bateau nécessitant une qualification ou une habilitation :"
"37","Conduire un engin ferroviaire spécifique :"
"38","Conduire un véhicule nécessitant une habilitation :"
"39","Conduire un véhicule spécifique :"
"40","Confectionner des produits alimentaires :"
"41","Conseiller un artiste, un mannequin, un sportif, ... sur :"
"42","Contrôler des canalisations par :"
"44","Contrôler la conformité d''éléments :"
"43","Contrôler la conformité de composition ou de résistance d''un produit par :"
"45","Contrôler le trafic aérien d''un site aéroportuaire de :"
"46","Contrôler les connaissances de pilotes par des examens nécessitant une qualification :"
"47","Contrôler les titres de transport sur :"
"48","Contrôler ou réaliser des opérations de gestion des ressources humaines :"
"49","Convoyer sur les pistes ou installer aux abords des aéronefs du matériel nécessitant une autorisation/habilitation :"
"50","Coordonner des actions de promotion du patrimoine :"
"51","Coordonner des opérations de transport/logistique :"
"52","Coordonner des projets de :"
"53","Coordonner et animer des actions spécifiques :"
"54","Coordonner la sécurité de chantiers nécessitant une attestation :"
"55","Coordonner les actions d''un groupe lors d''un projet/chantier :"
"56","Coordonner les activités d''un site aéroportuaire de :"
"57","Coordonner les activités d''une exploitation :"
"58","Coordonner une entreprise de transport spécialisée en :"
"59","Couper des produits imprimés avec un :"
"60","Créer des illustrations visuelles ou sonores :"
"61","Créer des oeuvres en :"
"62","Créer des oeuvres par divers moyens d''expression :"
"65","Créer des oeuvres pour des :"
"63","Créer des oeuvres pour des sujets/thèmes :"
"66","Créer des vitrines et mettre en scène un type de produit :"
"67","Créer une ambiance autour d''un produit, d''une gamme de produits :"
"68","Cuisiner des plats pour un type de public :"
