"code_ogr","libelle","code_type_referentiel","code_ref_rubrique","code_tete_rgpmt","libelle_activite_impression","libelle_en_tete_regroupement"
"100003","Conduire les engins agricoles vers le lieu de production (champs, forêt), de stockage, de livraison (fermes, coopératives)","2","6","","",""
"100007","Techniques de soudage","1","10","","",""
"100007","Techniques de soudage","1","7","","",""
"100010","Utilisation d''engins forestiers","1","7","","",""
"100011","Techniques culturales","1","10","","",""
"100011","Techniques culturales","1","7","","",""
"100015","Normes environnementales","1","10","","",""
"100015","Normes environnementales","1","7","","",""
"100016","Gestes et postures de manutention","1","10","","",""
"100016","Gestes et postures de manutention","1","7","","",""
"100017","Règles de sécurité","1","10","","",""
"100017","Règles de sécurité","1","7","","",""
"100018","Utilisation de débusqueur","1","10","","",""
"100019","Caractéristiques des écosystèmes","1","10","","",""
"100019","Caractéristiques des écosystèmes","1","7","","",""
"100023","Réaliser l''abattage des arbres désignés (positionnement des coins, tronçonnage de la base, ...) selon la trajectoire de chute voulue","2","6","","",""
"100029","Techniques d''affûtage","1","10","","",""
"100029","Techniques d''affûtage","1","7","","",""
"100030","Physiologie végétale","1","7","","",""
"100032","Techniques de taille de végétaux","1","7","","",""
"100033","Techniques de coupe et d''abattage","1","7","","",""
"100034","Techniques de grimper","1","7","","",""
"100035","Techniques d''haubanage","1","7","","",""
"100038","Chiffrage/calcul de coût","1","10","","",""
"100038","Chiffrage/calcul de coût","1","7","","",""
"100039","Techniques de soins aux arbres ou ceps","1","10","","",""
"100039","Techniques de soins aux arbres ou ceps","1","7","","",""
"100050","Réglementation des espaces et espèces protégés","1","7","","",""
"100051","Classification des espèces animales","1","10","","",""
"100051","Classification des espèces animales","1","7","","",""
"100057","Techniques de préservation de la biodiversité","1","10","","",""
"100057","Techniques de préservation de la biodiversité","1","7","","",""
"100058","Sécuriser le chantier et son environnement (signalisation, ...)","2","6","","",""
"100063","Tailler les arbres selon l''orientation de croissance ou la forme recherchée et supprimer les branches indésirables","2","6","","",""
"100064","Utilisation d''engins de tonte (autotracté/autoporté)","1","7","","",""
"100068","Etudier les évolutions de la faune et de la flore dans les milieux naturels","2","6","","",""
"100069","Surveiller un espace naturel pour la prévention des risques d''accidents, de pollution, d''incendie","2","6","","",""
"100070","Diagnostiquer l''état d''un site et définir les priorités d''action au sein des milieux inventoriés","2","6","","",""
"100071","Déployer les directives du ministère et des collectivités pour la protection et la valorisation des milieux naturels par réintroduction d''espèces, restauration de plages ...","2","6","","",""
"100075","Utilisation de matériel de capture (seringue hypodermique, ...)","1","7","","",""
"100076","Droit forestier","1","7","","",""
"100077","Droit rural","1","7","","",""
"100078","Réglementation de la pêche","1","10","","",""
"100078","Réglementation de la pêche","1","7","","",""
"100079","Réglementation de la chasse","1","7","","",""
"100083","Réaliser des opérations de gestion des milieux aquatiques","2","9","","",""
"100086","Techniques de comptage","1","10","","",""
"100086","Techniques de comptage","1","7","","",""
"100087","Techniques de baguage","1","10","","",""
"100088","Techniques d''approche et de manipulation des animaux","1","10","","",""
"100088","Techniques d''approche et de manipulation des animaux","1","7","","",""
"100089","Techniques d''inventaire","1","10","","",""
"100089","Techniques d''inventaire","1","7","","",""
"100090","Techniques pédagogiques","1","10","","",""
"100090","Techniques pédagogiques","1","7","","",""
"100091","Normes de sécurité des espaces et des établissements recevant du public","1","10","","",""
"100091","Normes de sécurité des espaces et des établissements recevant du public","1","7","","",""
"100097","Lecture de carte","1","7","","",""
"100098","Techniques de marquage","1","7","","",""
"100100","Techniques d''élagage","1","10","","",""
"100100","Techniques d''élagage","1","7","","",""
"100102","Techniques de cubage","1","7","","",""
"100104","Agronomie","1","10","","",""
"100104","Agronomie","1","7","","",""
"100105","Pathologies végétales","1","10","","",""
"100105","Pathologies végétales","1","7","","",""
"100111","Concevoir les solutions technico-économiques (reprise d''exploitation, reconversion, ...) adaptées aux problématiques d''un site de production (environnement, pollution, rendements, ...)","2","6","","",""
"100113","Logiciels de gestion de base de données","1","10","","",""
"100113","Logiciels de gestion de base de données","1","7","","",""
"100114","Agriculture biologique","1","10","","",""
"100114","Agriculture biologique","1","7","","",""
"100118","Fiscalité","1","10","","",""
"100118","Fiscalité","1","7","","",""
"100119","Typologie des risques environnementaux et sanitaires","1","7","","",""
"100120","Procéder à des études/expérimentations","2","9","","",""
"100129","Code des marchés publics","1","10","","",""
"100129","Code des marchés publics","1","7","","",""
"100130","Caractéristiques des produits chimiques","1","10","","",""
"100131","Biologie végétale","1","10","","",""
"100131","Biologie végétale","1","7","","",""
"100132","Biologie animale","1","10","","",""
"100132","Biologie animale","1","7","","",""
"100133","Identifier les priorités d''intervention (contrôles, relevés, ...) en fonction de la planification annuelle et déterminer le matériel approprié","2","6","","",""
"100135","Relever les données de performance individuelle des animaux (quantité et qualité du lait, prise de poids, ...)","2","6","","",""
"100136","Prélever des échantillons de matières ou de produits, les référencer et les enregistrer pour analyse","2","6","","",""
"100136","Prélever des échantillons de matières ou de produits, les référencer et les enregistrer pour analyse","2","9","","",""
"100140","Utilisation d''outils de pesage/dosage (balance, verre doseur, ...)","1","7","","",""
"100141","Physiologie animale","1","10","","",""
"100141","Physiologie animale","1","7","","",""
"100142","Propriétés des produits vétérinaires","1","7","","",""
"100143","Traçabilité des produits","1","10","","",""
"100143","Traçabilité des produits","1","7","","",""
"100144","Règles d''hygiène et de sécurité","1","7","","",""
"100149","Pathologies animales","1","10","","",""
"100149","Pathologies animales","1","7","","",""
"100151","Réglementation sanitaire","1","10","","",""
"100151","Réglementation sanitaire","1","7","","",""
"100158","Botanique","1","10","","",""
"100158","Botanique","1","7","","",""
"100159","Climatologie","1","7","","",""
"100160","Hydrobiologie","1","7","","",""
"100161","Toxicologie","1","10","","",""
"100161","Toxicologie","1","7","","",""
"100162","Génie rural","1","7","","",""
"100170","Techniques d''éclaircissage","1","7","","",""
"100205","Lecture de carte marine","1","7","","",""
"100213","Utilisation de matériel de levage","1","10","","",""
"100213","Utilisation de matériel de levage","1","7","","",""
"100215","Circuits de distribution commerciale","1","10","","",""
"100215","Circuits de distribution commerciale","1","7","","",""
"100230","Utilisation d''alcoomètre","1","10","","",""
"100232","Spécificités de stockage des vins","1","10","","",""
"100234","Techniques d''embouteillage","1","10","","",""
"100234","Techniques d''embouteillage","1","7","","",""
"100236","Définir la route du navire et les paramètres sur les instruments de pilotage et de contrôle","2","6","","",""
"100238","Surveiller la route du bateau, identifier les écarts et ajuster les paramètres de navigation","2","6","","",""
"100239","Réaliser ou contrôler les manoeuvres du navire et les opérations de pêche","2","6","","",""
"100240","Sécuriser l''embarcation (contrôle des équipements, identification des risques d''avarie) et mettre en oeuvre des moyens palliatifs","2","6","","",""
"100243","Utilisation d''équipement de secours et de sauvetage","1","10","","",""
"100243","Utilisation d''équipement de secours et de sauvetage","1","7","","",""
"100244","Typologie des navires","1","7","","",""
"100246","Règles de sécurité maritime","1","10","","",""
"100246","Règles de sécurité maritime","1","7","","",""
"100248","Droit maritime","1","10","","",""
"100248","Droit maritime","1","7","","",""
"100249","Economie des pêches","1","7","","",""
"100251","Utilisation de matériel de signalisation et de sécurité (balise, panneaux, ...)","1","10","","",""
"100251","Utilisation de matériel de signalisation et de sécurité (balise, panneaux, ...)","1","7","","",""
