"code_ogr","riasec_majeur","riasec_mineur"
"100003","R",""
"100023","R",""
"100058","C",""
"100063","R",""
"100068","I",""
"100069","C","R"
"100070","E",""
"100071","C",""
"100083","C",""
"100111","R","E"
"100120","I","R"
"100133","R","C"
"100135","C","R"
"100136","C","R"
"100236","R","C"
"100238","C",""
"100239","C",""
"100240","C",""
"100256","R","I"
"100263","R",""
"100280","C","R"
"100295","R",""
"100300","R",""
"100307","C","R"
"100311","R","S"
"100314","R",""
"100347","R",""
"100387","R","C"
"100388","R",""
"100408","I","S"
"100409","R",""
"100410","R",""
"100415","R",""
"100416","R",""
"100417","R",""
"100418","R",""
"100421","R","I"
"100422","R","I"
"100424","R",""
"100426","S","R"
"100433","R",""
"100434","R",""
"100435","R",""
"100445","I","S"
"100446","I","S"
"100447","R","I"
"100448","R","A"
"100449","S","R"
"100450","C",""
"100456","I","S"
"100457","R","S"
"100458","R",""
"100459","R","S"
"100460","R","I"
"100461","R","I"
"100462","S","R"
"100472","R",""
"100473","R",""
"100474","R",""
"100475","C","R"
"100486","A","R"
"100501","A",""
"100558","R","A"
"100560","R","A"
"100579","A",""
"100585","A",""
"100586","A",""
"100601","C","A"
"100614","R","A"
"100615","R","A"
"100616","R","A"
"100617","R","A"
"100618","R","A"
"100658","R",""
"100659","R",""
"100660","R",""
"100661","R",""
"100677","A","R"
"100678","A","R"
"100679","A","R"
"100680","R","A"
"100684","R","A"
"100711","R",""
"100712","R",""
"100713","R",""
"100714","R",""
"100715","R",""
"100720","A","R"
"100723","A","R"
"100731","R","A"
"100749","R","A"
"100760","R",""
"100784","A","R"
"100788","A","R"
"100809","R","A"
"100812","R","A"
"100836","A","R"
"100837","A","R"
"100838","A","R"
"100839","A",""
"100840","A",""
"100856","R",""
"100857","R","A"
"100858","R",""
"100859","R","A"
"100861","R","A"
"100862","R","A"
"100864","R","A"
"100871","R","A"
"100888","A","R"
"100890","A","R"
"100897","R",""
"100898","C","I"
"100901","R","A"
"100924","R",""
"100925","R",""
"100926","R",""
"100927","R",""
"100928","R",""
"100929","R",""
"100955","R",""
"100957","R",""
"100964","C",""
"101017","R","A"
"101018","R","A"
"101019","R","A"
"101024","R",""
"101037","R",""
"101038","R",""
"101039","R",""
"101040","R",""
"101041","R",""
"101042","R",""
"101045","R",""
