"code_ogr","code_tete_rgpmt","libelle_activite","libelle_activite_impression","code_type_activite","libelle_type_activite","code_type_item_activite","libelle_type_item_activite","statut"
"100003","","Conduire les engins agricoles vers le lieu de production (champs, forêt), de stockage, de livraison (fermes, coopératives)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100023","","Réaliser l''abattage des arbres désignés (positionnement des coins, tronçonnage de la base, ...) selon la trajectoire de chute voulue","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100058","","Sécuriser le chantier et son environnement (signalisation, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100063","","Tailler les arbres selon l''orientation de croissance ou la forme recherchée et supprimer les branches indésirables","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100068","","Etudier les évolutions de la faune et de la flore dans les milieux naturels","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100069","","Surveiller un espace naturel pour la prévention des risques d''accidents, de pollution, d''incendie","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100070","","Diagnostiquer l''état d''un site et définir les priorités d''action au sein des milieux inventoriés","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100071","","Déployer les directives du ministère et des collectivités pour la protection et la valorisation des milieux naturels par réintroduction d''espèces, restauration de plages ...","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100083","","Réaliser des opérations de gestion des milieux aquatiques","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100111","","Concevoir les solutions technico-économiques (reprise d''exploitation, reconversion, ...) adaptées aux problématiques d''un site de production (environnement, pollution, rendements, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100120","","Procéder à des études/expérimentations","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100121","","Procéder à des études/expérimentations en aménagement du territoire","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100122","","Procéder à des études/expérimentations en aquaculture","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100123","","Procéder à des études/expérimentations en élevage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100124","","Procéder à des études/expérimentations en maîtrise de l''énergie","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100125","","Procéder à des études/expérimentations en protection de l''environnement","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100126","","Procéder à des études/expérimentations en qualité et traitement des eaux","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100127","","Procéder à des études/expérimentations en sauvegarde/mise en valeur du patrimoine naturel","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100128","","Procéder à des études/expérimentations en sylviculture","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100133","","Identifier les priorités d''intervention (contrôles, relevés, ...) en fonction de la planification annuelle et déterminer le matériel approprié","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100135","","Relever les données de performance individuelle des animaux (quantité et qualité du lait, prise de poids, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100136","","Prélever des échantillons de matières ou de produits, les référencer et les enregistrer pour analyse","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100236","","Définir la route du navire et les paramètres sur les instruments de pilotage et de contrôle","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100238","","Surveiller la route du bateau, identifier les écarts et ajuster les paramètres de navigation","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100239","","Réaliser ou contrôler les manoeuvres du navire et les opérations de pêche","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100240","","Sécuriser l''embarcation (contrôle des équipements, identification des risques d''avarie) et mettre en oeuvre des moyens palliatifs","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100256","","Dispenser les soins préventifs ou curatifs aux animaux","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100263","","Réaliser des déplacements nécessitant un certificat de transport d''animaux vivants","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100280","","Vérifier l''état de fonctionnement des équipements (chaudière, système d''extraction d''air, ...) et réaliser la maintenance de premier niveau des installations","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100295","","Préparer les aliments et les distribuer aux animaux","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100300","","Répartir les animaux dans des locaux d''élevage ou en plein air","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100307","","Prélever les semences des verrats et les analyser en laboratoire","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100310","","Réaliser le diagnostic de santé ou de gestation de l''animal et dispenser les soins préventifs ou curatifs","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100311","","Assister les animaux lors des mises bas et prodiguer les premiers soins aux nouveau-nés","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100314","","Procéder au caillage du lait après sa mise en cuve","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100347","","Réaliser la mise en fûts ou en bouteilles, le bouchage, l''étiquetage du vin, du cidre, de la bière, ...","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100387","","Surveiller l''état de l''embarcation pendant la navigation, détecter les anomalies (avaries, ...) et en informer le maître d''équipage ou l''officier de quart","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100388","","Effectuer les manoeuvres d''accostage ou d''appareillage du bateau","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
