"code_type_referentiel","code_type_particulier","libelle_type_referentiel","nom_table_corresp_arbre","nom_table_referentiel"
"1","RI","competence","","item_referentiel_competence"
"2","RI","activite","","item_referentiel_activite"
"3","RI","code rome","","item_referentiel_code_rome"
"4","RI","appellation","","item_referentiel_appellation"
"5","RI","environnement de travail","","item_referentiel_env_travail"
"6","AP","Arborescence  principale","item_referentiel_code_rome","item_arborescence"
"7","AR","Arborescence  secondaire - code ROME","item_referentiel_code_rome","item_arborescence"
"8","AA","Arborescence d''item - activité","item_referentiel_activite","item_arborescence"
"9","AC","Arborescence d''item - compétence","item_referentiel_competenc","item_arborescence"
"10","AE","Arborescence d''item - environnement de travail","item_referentiel_env_trava","item_arborescence"
